,date,daily_return
0,2015-01-05,0.0
1,2015-01-06,-0.007883751546415258
2,2015-01-07,0.01518420450604066
3,2015-01-08,0.01775237433450007
4,2015-01-09,-0.008711453349094561
5,2015-01-12,-0.008065592468793062
6,2015-01-13,-0.0008090176601080025
7,2015-01-14,-0.010469083121782942
8,2015-01-15,-0.011705818216380809
9,2015-01-16,0.0037927278035454863
10,2015-01-20,-0.0034273032116809775
11,2015-01-21,0.002511944741112472
12,2015-01-22,0.02049479980920939
13,2015-01-23,-0.0027713974200941722
14,2015-01-26,0.00013329296240747383
15,2015-01-27,-0.025321611161429607
16,2015-01-28,-0.0021567738221145607
17,2015-01-29,0.015555978881480572
18,2015-01-30,-0.019469585150180387
19,2015-02-02,0.008876818754426613
20,2015-02-03,0.012609919743688186
21,2015-02-04,-0.00300017098163468
22,2015-02-05,0.008898954202733601
23,2015-02-06,-0.003667698728160731
24,2015-02-09,-0.004360849876718282
25,2015-02-10,0.010327897766948018
26,2015-02-11,0.0026609358032331255
27,2015-02-12,0.0037368306753870527
28,2015-02-13,0.004912247001752809
29,2015-02-17,0.0031867203583156294
30,2015-02-18,0.002534266402181621
31,2015-02-19,0.0016869161092078794
32,2015-02-20,0.007802486305466196
33,2015-02-23,0.0036903167874117373
34,2015-02-24,0.002531284826077239
35,2015-02-25,-0.0015388688760596665
36,2015-02-26,0.00673599421076727
37,2015-02-27,-0.0062232326885776346
38,2015-03-02,0.00692360332386053
39,2015-03-03,-0.004755485518556072
40,2015-03-04,-0.005279964616324175
41,2015-03-05,0.0009341159246763955
42,2015-03-06,-0.010857693679366683
43,2015-03-09,0.005155634673470045
44,2015-03-10,-0.01462185487986502
45,2015-03-11,-0.005859600201618276
46,2015-03-12,0.011300334694745917
47,2015-03-13,-0.0037975944460509167
48,2015-03-16,0.009489651969811384
49,2015-03-17,-0.00020289154548253538
50,2015-03-18,0.010888075909760512
51,2015-03-19,-0.0022911414889554495
52,2015-03-20,0.010433552817141815
53,2015-03-23,0.0014156903114266436
54,2015-03-24,-0.004120395841393046
55,2015-03-25,-0.019425229427638076
56,2015-03-26,0.00043030602292477773
57,2015-03-27,9.544730879896879e-05
58,2015-03-30,0.010785862082988944
59,2015-03-31,-0.009145155664692562
60,2015-04-01,0.0005160257274635509
61,2015-04-02,0.000356392427437966
62,2015-04-06,0.006684710592629251
63,2015-04-07,0.0004178575924744469
64,2015-04-08,0.0017101144577908124
65,2015-04-09,0.005501435545708568
66,2015-04-10,0.0019380188497984837
67,2015-04-13,-0.003939257980190136
68,2015-04-14,0.0013165260354169328
69,2015-04-15,0.006537998336367773
70,2015-04-16,-0.0029584728679830966
71,2015-04-17,-0.009109662780469787
72,2015-04-20,0.012487351369062438
73,2015-04-21,-0.0018594484136381494
74,2015-04-22,0.004464719492957601
75,2015-04-23,0.005308776322276236
76,2015-04-24,0.015083772042967675
77,2015-04-27,0.0009316657285693141
78,2015-04-28,0.000256474735993324
79,2015-04-29,-0.0014266731479133006
80,2015-04-30,-0.011962943363068954
81,2015-05-01,0.010973938509392381
82,2015-05-04,0.0006675463283851175
83,2015-05-05,-0.009242648325290464
84,2015-05-06,-0.006568539277924216
85,2015-05-07,0.006662443196115212
86,2015-05-08,0.014096851220656752
87,2015-05-11,-0.00244246834777431
88,2015-05-12,-0.0032672482055281053
89,2015-05-13,0.0017590772408221133
90,2015-05-14,0.012909854535360591
91,2015-05-15,0.001930062906141972
92,2015-05-18,0.0038972435150943807
93,2015-05-19,0.0005791480442592713
94,2015-05-20,-0.000789519258080214
95,2015-05-21,0.0003286648071603534
96,2015-05-22,0.000958936122910165
97,2015-05-26,-0.009239703695648877
98,2015-05-27,0.008015831603477921
99,2015-05-28,-0.0012054420477201097
100,2015-05-29,-0.008475962320768632
101,2015-06-01,0.0028284153372523375
102,2015-06-02,-0.0022137627490971036
103,2015-06-03,0.002579774177307293
104,2015-06-04,-0.004525169856966674
105,2015-06-05,-0.001211049137596895
106,2015-06-08,-0.005145624573587657
107,2015-06-09,-0.0008968986354337685
108,2015-06-10,0.01320569124096952
109,2015-06-11,0.0016049630920880514
110,2015-06-12,-0.005619406369897529
111,2015-06-15,-0.00539925377844962
112,2015-06-16,0.00751721846549551
113,2015-06-17,0.0006520106848143285
114,2015-06-18,0.009631395172742288
115,2015-06-19,-0.004759352715333396
116,2015-06-22,0.005531137863595939
117,2015-06-23,-0.00020287154179980104
118,2015-06-24,-0.004421197728644232
119,2015-06-25,-0.004238071959871013
120,2015-06-26,0.006939078918478803
121,2015-06-29,-0.016940181728221752
122,2015-06-30,0.001618437491624781
123,2015-07-01,0.007641160549757599
124,2015-07-02,-0.00019320951802978217
125,2015-07-06,-0.0019894167342634607
126,2015-07-07,0.0033152983778300497
127,2015-07-08,-0.012944497498699935
128,2015-07-09,-0.000252857050654869
129,2015-07-10,0.010461814635051145
130,2015-07-13,0.012996537506011076
131,2015-07-14,0.0012593499156809804
132,2015-07-15,0.0031861849834851066
133,2015-07-16,0.005634384478220705
134,2015-07-17,0.0019122458002913722
135,2015-07-20,0.004778206748232936
136,2015-07-21,-0.0014004786094808917
137,2015-07-22,-0.007463416205855851
138,2015-07-23,-0.0001831662746606627
139,2015-07-24,-0.008069613274101956
140,2015-07-27,-0.009419492047939699
141,2015-07-28,0.005933765523052475
142,2015-07-29,0.006569468686279628
143,2015-07-30,0.0016963230561956406
144,2015-07-31,-0.0025323928451056687
145,2015-08-03,-0.004314609743683292
146,2015-08-04,-0.0009914524063659393
147,2015-08-05,0.004638478992175072
