,date,daily_return
0,2015-01-05,0.0
1,2015-01-06,-0.007634577830061058
2,2015-01-07,0.015055526728783564
3,2015-01-08,0.01944823542023875
4,2015-01-09,-0.008346988408342798
5,2015-01-12,-0.007663763781898868
6,2015-01-13,-0.0014946553551273163
7,2015-01-14,-0.010016681120117617
8,2015-01-15,-0.011509803563148074
9,2015-01-16,0.0026080685749399093
10,2015-01-20,0.0004475757778752471
11,2015-01-21,0.0017294862137138484
12,2015-01-22,0.02149231748332455
13,2015-01-23,-0.0022818247856668983
14,2015-01-26,0.0002623318674531727
15,2015-01-27,-0.024865545027620835
16,2015-01-28,-0.004257888714434182
17,2015-01-29,0.015804802350333158
18,2015-01-30,-0.021597067575579734
19,2015-02-02,0.007171025288579057
20,2015-02-03,0.012719161775132657
21,2015-02-04,-0.0038016321464498888
22,2015-02-05,0.008872130226116909
23,2015-02-06,-0.0059614785784081635
24,2015-02-09,-0.004425233434923552
25,2015-02-10,0.011427461126410068
26,2015-02-11,0.0008439004662167201
27,2015-02-12,0.004583829020219691
28,2015-02-13,0.0044305575068877895
29,2015-02-17,0.0025592967316003475
30,2015-02-18,0.004005773303848085
31,2015-02-19,0.0015723148354741757
32,2015-02-20,0.008062092992669745
33,2015-02-23,0.0035633656268873404
34,2015-02-24,0.0026169769145621222
35,2015-02-25,0.000906770328321968
36,2015-02-26,0.006822485288155286
37,2015-02-27,-0.004533215715795619
38,2015-03-02,0.007346905043633278
39,2015-03-03,-0.005265409628040789
40,2015-03-04,-0.005033145663152357
41,2015-03-05,0.0021652140226245922
42,2015-03-06,-0.012630353244354528
43,2015-03-09,0.005287275548823794
44,2015-03-10,-0.013595724578268768
45,2015-03-11,-0.006792604041195552
46,2015-03-12,0.011635907811802763
47,2015-03-13,-0.004608308967612175
48,2015-03-16,0.009024713417843966
49,2015-03-17,0.0001025765034187199
50,2015-03-18,0.010767605776626988
51,2015-03-19,-0.0008650326805749757
52,2015-03-20,0.012984077503480218
53,2015-03-23,0.0005234756615426713
54,2015-03-24,-0.004436871581518501
55,2015-03-25,-0.017859760752136442
56,2015-03-26,0.0005853364920839012
57,2015-03-27,0.000468511705971811
58,2015-03-30,0.010588110613009932
59,2015-03-31,-0.008574010262940824
60,2015-04-01,-0.0009254226121665686
61,2015-04-02,0.0002953448856968249
62,2015-04-06,0.006595649485647625
63,2015-04-07,6.0802398140636574e-05
64,2015-04-08,0.0027682046168946827
65,2015-04-09,0.0047231704989841
66,2015-04-10,0.0014888189717719965
67,2015-04-13,-0.004583319351237293
68,2015-04-14,0.0013395300538758094
69,2015-04-15,0.0058280569160028455
70,2015-04-16,-0.002819666395518624
71,2015-04-17,-0.009051517210250638
72,2015-04-20,0.01269245111575442
73,2015-04-21,-0.001363150489676357
74,2015-04-22,0.003723099004339672
75,2015-04-23,0.005302916415548641
76,2015-04-24,0.01404656721674694
77,2015-04-27,0.0010059367993822215
78,2015-04-28,-1.5366397139279783e-05
79,2015-04-29,-0.0015180943116600682
80,2015-04-30,-0.011458425872143744
81,2015-05-01,0.011313035199594385
82,2015-05-04,0.00039322395425891435
83,2015-05-05,-0.008540043071062122
84,2015-05-06,-0.006157118793181168
85,2015-05-07,0.00675413895976939
86,2015-05-08,0.013375097791969227
87,2015-05-11,-0.001819566217267812
88,2015-05-12,-0.003239291811647725
89,2015-05-13,0.001320627553057316
90,2015-05-14,0.012421865615879915
91,2015-05-15,0.002950055329141741
92,2015-05-18,0.0037639131924929485
93,2015-05-19,0.0009493167753528042
94,2015-05-20,-0.0009140422605557566
95,2015-05-21,-0.00015595421667655187
96,2015-05-22,-0.00031782285298123517
97,2015-05-26,-0.008019600326990728
98,2015-05-27,0.00605063435613266
99,2015-05-28,-0.0012328249443483263
100,2015-05-29,-0.00795275837519909
101,2015-06-01,0.002449476335647844
102,2015-06-02,-0.0014576559596720174
103,2015-06-03,0.002581027751957897
104,2015-06-04,-0.00465933764895924
105,2015-06-05,-0.000951949261363248
106,2015-06-08,-0.0051015982263262274
107,2015-06-09,-0.0010882908180471537
108,2015-06-10,0.013996788653956576
109,2015-06-11,0.001863478278504643
110,2015-06-12,-0.005111985463652262
111,2015-06-15,-0.005152198939700703
112,2015-06-16,0.007610353392204087
113,2015-06-17,0.0006859721767419818
114,2015-06-18,0.009865398598143725
115,2015-06-19,-0.004097435239565945
116,2015-06-22,0.004811840407179673
117,2015-06-23,-9.878345593090408e-05
118,2015-06-24,-0.005054414133434561
119,2015-06-25,-0.004351121982645691
120,2015-06-26,0.010246454700389294
121,2015-06-29,-0.01659930940614058
122,2015-06-30,0.0017172113953042786
123,2015-07-01,0.00828564382927181
124,2015-07-02,0.00012748061433435982
125,2015-07-06,-0.0018000419201113194
126,2015-07-07,0.004074801752799906
127,2015-07-08,-0.013246430687856667
128,2015-07-09,-7.4776612255040615e-06
129,2015-07-10,0.01053991969545882
130,2015-07-13,0.013421477295424407
131,2015-07-14,0.0005576864064862382
132,2015-07-15,0.002789991956932075
133,2015-07-16,0.005735293519825257
134,2015-07-17,0.0007219625731510009
135,2015-07-20,0.00472392478884635
136,2015-07-21,-0.0011590085171583988
137,2015-07-22,-0.008130407003799087
138,2015-07-23,0.00016206413161927322
139,2015-07-24,-0.007684276390880358
140,2015-07-27,-0.00952525611231876
141,2015-07-28,0.0065931513901402936
142,2015-07-29,0.007388546306078047
143,2015-07-30,0.001739816865009987
144,2015-07-31,-0.002220156324857346
145,2015-08-03,-0.004470054446023492
146,2015-08-04,-0.0010601179843233138
147,2015-08-05,0.004579598808585854
