date,AAPL,GS,JNJ,MSFT,NKE,cash
2015-01-05,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2015-01-06,0.14175504446029663,0.1888676881790161,0.24411211907863617,0.14175504446029663,0.14175504446029663,0.14175504446029663
2015-01-07,0.13475903868675232,0.1961681991815567,0.26061922311782837,0.13475903868675232,0.13893544673919678,0.13475903868675232
2015-01-08,0.14093182981014252,0.19483843445777893,0.22330157458782196,0.14093182981014252,0.14223060011863708,0.15776576101779938
2015-01-09,0.13593865931034088,0.19207435846328735,0.1998617798089981,0.13593865931034088,0.18886230885982513,0.14732427895069122
2015-01-12,0.13271169364452362,0.18282899260520935,0.19471977651119232,0.13271169364452362,0.20868676900863647,0.148341104388237
2015-01-13,0.13533684611320496,0.1893497258424759,0.21017523109912872,0.13533684611320496,0.17732550203800201,0.15247584879398346
2015-01-14,0.13513484597206116,0.18851356208324432,0.20761680603027344,0.13513484597206116,0.18492655456066132,0.148673415184021
2015-01-15,0.13364370167255402,0.20353108644485474,0.22912158071994781,0.13364370167255402,0.14901688694953918,0.15104298293590546
2015-01-16,0.13017870485782623,0.19580654799938202,0.24240940809249878,0.13017870485782623,0.15832734107971191,0.14309929311275482
2015-01-20,0.13468019664287567,0.205203115940094,0.24405518174171448,0.13468019664287567,0.1399194300174713,0.14146184921264648
2015-01-21,0.13202881813049316,0.18865086138248444,0.2231096476316452,0.13202881813049316,0.1654624342918396,0.1587195098400116
2015-01-22,0.13086289167404175,0.19101428985595703,0.22718583047389984,0.13086289167404175,0.1671186238527298,0.15295548737049103
2015-01-23,0.14415651559829712,0.18218226730823517,0.1865174025297165,0.13132116198539734,0.20428888499736786,0.15153376758098602
2015-01-26,0.14880283176898956,0.1742500513792038,0.17172889411449432,0.1342744678258896,0.1915232092142105,0.17942054569721222
2015-01-27,0.150278240442276,0.17992191016674042,0.1693975031375885,0.13204598426818848,0.19203241169452667,0.17632395029067993
2015-01-28,0.16137559711933136,0.1821460872888565,0.18186791241168976,0.1402168720960617,0.14775213599205017,0.1866413950920105
2015-01-29,0.17740020155906677,0.20147812366485596,0.1441926658153534,0.1441926658153534,0.1441926658153534,0.1885436773300171
2015-01-30,0.17046664655208588,0.1985621303319931,0.14637546241283417,0.14637546241283417,0.15110443532466888,0.1871158480644226
2015-02-02,0.13611935079097748,0.1980682760477066,0.18280181288719177,0.13611935079097748,0.17850226163864136,0.1683889925479889
2015-02-03,0.1326977014541626,0.204364612698555,0.20923542976379395,0.1326977014541626,0.1673935353755951,0.15361103415489197
2015-02-04,0.14784996211528778,0.19922944903373718,0.16124241054058075,0.1352105289697647,0.18605010211467743,0.1704174429178238
2015-02-05,0.13663913309574127,0.2074659764766693,0.18475766479969025,0.13663913309574127,0.1824217140674591,0.15207642316818237
2015-02-06,0.13663874566555023,0.20746494829654694,0.18467995524406433,0.13663874566555023,0.18246380984783173,0.15211375057697296
2015-02-09,0.13531389832496643,0.19644945859909058,0.196234330534935,0.13531389832496643,0.18968123197555542,0.14700715243816376
2015-02-10,0.13145878911018372,0.19599950313568115,0.21277618408203125,0.13145878911018372,0.18975751101970673,0.13854926824569702
2015-02-11,0.13325920701026917,0.19090288877487183,0.20776072144508362,0.13325920701026917,0.1976708024740219,0.1371472328901291
2015-02-12,0.13554032146930695,0.18401594460010529,0.20206601917743683,0.13554032146930695,0.202534019947052,0.1403033584356308
2015-02-13,0.13550719618797302,0.18721744418144226,0.20359937846660614,0.13550719618797302,0.20266160368919373,0.13550719618797302
2015-02-17,0.13666938245296478,0.1822565644979477,0.20565252006053925,0.13666938245296478,0.20208275318145752,0.13666938245296478
