Wall time,Step,Value
1680370440.4561913,38000,92586157015040.0
1680370442.0769281,38500,161063639187456.0
1680370443.7058406,39000,298478081146880.0
1680370445.463139,39500,8266489266176.0
1680370447.0772848,40000,28133396840448.0
1680370448.6862564,40500,55730921013248.0
1680370450.298087,41000,45286709788672.0
1680370451.9212742,41500,157636523720704.0
1680370453.551923,42000,233249204862976.0
1680370455.3035753,42500,636028821962752.0
1680370456.9449308,43000,11285512060928.0
1680370458.520648,43500,31594096099328.0
1680370460.1253612,44000,82370795405312.0
1680370461.737613,44500,91833128452096.0
1680370463.3495972,45000,120324758700032.0
1680370464.953035,45500,234417754734592.0
1680370466.6589942,46000,8488784756736.0
1680370468.2655118,46500,25195301568512.0
1680370469.885639,47000,61582558101504.0
1680370471.5164561,47500,62380046286848.0
1680370473.137478,48000,227576140267520.0
1680370474.7398875,48500,327394149793792.0
1680370476.365618,49000,771025750982656.0
1680370478.116198,49500,12349611180032.0
1680370479.742318,50000,33861528453120.0
1680370481.3858006,50500,84526457946112.0
1680370483.0203984,51000,90072527405056.0
1680370484.6554265,51500,102063782494208.0
1680370486.3048885,52000,228956200501248.0
1680370488.0400164,52500,5844413448192.0
1680370489.6555579,53000,12899369091072.0
1680370491.267342,53500,31926706503680.0
1680370492.8666072,54000,34471495598080.0
1680370494.4625702,54500,55375072067584.0
1680370496.0753152,55000,84862262312960.0
1680370497.6880944,55500,160183355441152.0
1680370499.4275818,56000,9144907071488.0
1680370501.0121062,56500,18650180354048.0
1680370502.614314,57000,43888987340800.0
1680370504.3236756,57500,65970794135552.0
1680370506.0150845,58000,90987967807488.0
1680370507.6989517,58500,182608067559424.0
1680370509.501443,59000,7231566774272.0
1680370511.2040424,59500,13271177363456.0
1680370512.8924172,60000,29157264195584.0
1680370514.589913,60500,55098629685248.0
1680370516.2435253,61000,85122611150848.0
1680370517.8631816,61500,150346806591488.0
1680370519.4755557,62000,315462260883456.0
1680370521.2646475,62500,8863760777216.0
1680370522.9729953,63000,20971222204416.0
1680370524.6412988,63500,59630663237632.0
1680370526.3045704,64000,60963961176064.0
1680370527.9831984,64500,102643443695616.0
1680370529.6467328,65000,199669221163008.0
1680370531.4777093,65500,7895174873088.0
1680370533.2017012,66000,11014035734528.0
1680370534.906662,66500,24120047697920.0
1680370536.59786,67000,54777509576704.0
1680370538.2503157,67500,77972581122048.0
1680370539.7506175,68000,117599115411456.0
1680370541.341706,68500,207133773660160.0
1680370543.0557613,69000,8859155431424.0
1680370544.6943219,69500,19323523432448.0
1680370546.3481545,70000,47901292101632.0
1680370548.0082984,70500,45302048358400.0
1680370549.6187325,71000,93220428054528.0
1680370551.2355173,71500,144088166825984.0
1680370552.961322,72000,10282757783552.0
1680370554.5769606,72500,15687331348480.0
1680370556.2232413,73000,43871086051328.0
1680370557.8541834,73500,74910110056448.0
1680370559.4758644,74000,118531249143808.0
1680370561.099591,74500,201721242451968.0
1680370562.725979,75000,288071778041856.0
1680370564.4185462,75500,7197267853312.0
1680370566.0001292,76000,21840181329920.0
1680370567.5874722,76500,40618306830336.0
1680370569.1562624,77000,25016687132672.0
1680370570.7859817,77500,91641096437760.0
1680370572.4055343,78000,134000563716096.0
1680370574.1298816,78500,10636275744768.0
1680370575.7511883,79000,12948792672256.0
1680370577.3390324,79500,34042307149824.0
1680370578.9270446,80000,66563029860352.0
1680370580.510365,80500,101780146880512.0
1680370582.0799575,81000,152128278495232.0
1680370583.6713648,81500,245645856210944.0
1680370585.3599417,82000,7595094441984.0
1680370586.9579523,82500,20880325345280.0
1680370588.5385973,83000,43847417593856.0
1680370590.114243,83500,24391368835072.0
1680370591.700084,84000,88460530548736.0
1680370593.2809227,84500,134379275812864.0
1680370594.9612136,85000,175330681683968.0
1680370596.5720122,85500,9598941528064.0
1680370598.1665618,86000,31014611058688.0
1680370599.7561557,86500,71216480124928.0
1680370601.358847,87000,84648092762112.0
1680370602.9487243,87500,117286446825472.0
1680370604.5319254,88000,244650732421120.0
1680370606.25695,88500,7016391114752.0
1680370607.8242204,89000,16111090270208.0
1680370609.4056804,89500,37890537029632.0
1680370611.0157583,90000,23827461439488.0
1680370612.6360877,90500,99191044964352.0
1680370614.2251418,91000,132385765064704.0
1680370615.8149366,91500,353347563421696.0
1680370617.528429,92000,10458052427776.0
1680370619.1299827,92500,24130499903488.0
1680370620.7650843,93000,58619412348928.0
1680370622.3440728,93500,71733008662528.0
1680370623.962125,94000,88215625138176.0
1680370625.5438707,94500,168464572481536.0
1680370627.2886558,95000,6600995110912.0
1680370628.8979244,95500,14722513502208.0
1680370630.4851072,96000,29566930255872.0
1680370632.0685484,96500,44457126789120.0
1680370633.6740484,97000,89817010405376.0
1680370635.3080385,97500,127142062981120.0
1680370636.9382775,98000,231236056383488.0
1680370638.6480513,98500,9482561126400.0
1680370640.2633252,99000,20243942473728.0
1680370641.8363478,99500,37004729384960.0
1680370643.4357946,100000,43351030104064.0
